id,first_name,last_name,email,password,username,phone,status
3587e85d-7610-47b0-bdef-d50dfbcc136d,Luis,Young,alexander46@example.com,b59CP@Hw%A,192a379c-ee04-4be3-bca1-ef7a1a209ca5,238.814.3666,active
7d99b323-1cae-41cf-8fb3-7bd1dac56022,Angela,Howe,thomasbrian@example.net,D^3VVg1z)Z,016347b7-480f-4025-a72a-c736b813b20d,(515)399-9132x1573,inactive
99a1e783-38f8-4469-b089-cb5603cb69a3,Thomas,Middleton,vmaddox@example.com,_5&8Clzi8h,746e9d4e-65e5-4532-a287-7930a2a51e5c,(765)685-5339x98289,active
30af61b3-4a48-4a67-af1e-19bd3e7c3681,Emily,Jackson,rodriguezsusan@example.net,H%SEtsGsB5,ee02dfba-019a-41b5-b894-54fb68a7dc34,+1-240-730-9228x8839,inactive
5c6943e8-c991-441e-b857-ef7c8d68aadd,Melissa,Meyer,juan50@example.net,121Ec2bq@X,6eee1173-1c57-448e-8999-67620efe4642,(525)679-9470,deleted
4ece5bcd-3a8b-4fdf-a861-0f020df41727,Savannah,Soto,amandamccoy@example.net,!8Ftbe0!L+,45c5572e-6545-4efe-81f0-0e63bada414b,001-387-773-4990,deleted
2a13afc6-cc09-4285-a7e2-1e3eecdc66c7,Lawrence,Fernandez,pwright@example.com,i_m93Ez%J!,40fcd309-f70d-4980-a020-7a15c2e70740,9358781924,active
2fd02616-c6ef-424c-b96b-42c1a5e91c32,Antonio,Thomas,david04@example.com,4p%0hKpw(7,47a433ad-2449-469a-a0c0-94b56058ab57,001-590-282-1482,inactive
d8141cf4-ff6e-4312-bd89-f0ef8866d2fe,Anthony,Thompson,carrie70@example.net,I*3SYhKH&^,661731e7-0e55-4850-8b89-0a182df7dc68,+1-484-927-7285,suspended
8ac49d6b-9ed5-4473-8dd3-4ddfaebc6146,Christopher,Campbell,kristinaprince@example.net,5S!5Z0_p!2,4a768a1b-fddb-4157-b264-dc93a298fd70,(497)337-5022x5349,inactive
62d014d0-9a1a-4236-97f0-acfa02127fda,Maureen,Thompson,cohenmichael@example.net,ui**7YZr$i,e9fbeb2d-2117-4a09-8aa3-f4b97492fd16,001-415-240-6083x37749,deleted
a1e04e79-1c54-4643-befa-e167362180e7,William,Martin,christopher70@example.org,s1lvAwc6(P,2a51732f-049f-46ad-bd2a-a09ebbbcd5e9,(394)695-6121x115,active
11344a7d-992a-4101-b568-3424f53f1d6f,Eric,Cruz,stephanie69@example.net,r+s9XeeA@7,05370e1c-eae4-4faf-85f9-4a4a522f8d3c,432.699.7208x210,deleted
3b92e944-d68e-4c9d-8d3a-77e498ab1fe3,Jacob,Buchanan,alison47@example.net,7j_QDtCq%F,8c19ceeb-106a-4ec5-9f9e-825f9bd215a0,(476)831-8405,suspended
6e3bf58e-d51a-498d-9c3f-209d7de38791,Julia,Smith,bdixon@example.net,g7k*)G@u^p,3c96280a-0931-4431-a9b3-73b7d8031baa,+1-202-352-3815x952,suspended
